,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross margin percentage,gross income,Rating,Day,Date(dd-mm-yyyy),Month
0,0,0,0,0,0,0,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,13:08:00,Ewallet,522.83,4.761904762,26.1415,9.1,Saturday,5/1/2019,January
1,1,1,1,1,1,1,631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,13:23:00,Credit card,324.31,4.761904762,16.2155,7.4,Sunday,3/3/2019,March
2,2,2,2,2,2,2,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,20:33:00,Ewallet,465.76,4.761904762,23.288,8.4,Sunday,27-01-2019,January
3,3,3,3,3,3,3,373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,10:37:00,Ewallet,604.17,4.761904762,30.2085,5.3,Friday,8/2/2019,February
4,4,4,4,4,4,4,355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,14:36:00,Ewallet,413.04,4.761904762,20.652,5.8,Monday,25-02-2019,February
5,5,5,5,5,5,5,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,17:15:00,Credit card,72.52,4.761904762,3.626,7.2,Thursday,10/1/2019,January
6,6,6,6,6,6,6,365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,10:25:00,Ewallet,234.75,4.761904762,11.7375,7.1,Tuesday,12/2/2019,February
7,7,7,7,7,7,7,252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,16:48:00,Ewallet,431.9,4.761904762,21.595,8.2,Thursday,7/2/2019,February
8,8,8,8,8,8,8,829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,19:21:00,Cash,713.8,4.761904762,35.69,5.7,Friday,29-03-2019,March
9,9,9,9,9,9,9,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,11:03:00,Credit card,482.51,4.761904762,24.1255,4.6,Monday,11/3/2019,March
10,10,10,10,10,10,10,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,10:39:00,Credit card,435.66,4.761904762,21.783,6.9,Tuesday,1/1/2019,January
11,11,11,11,11,11,11,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,18:00:00,Credit card,164.01,4.761904762,8.2005,8.6,Monday,21-01-2019,January
12,12,12,12,12,12,12,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,11:15:00,Ewallet,172.8,4.761904762,8.64,9.9,Sunday,17-02-2019,February
13,13,13,13,13,13,13,549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,17:36:00,Ewallet,265.89,4.761904762,13.2945,6.0,Saturday,2/3/2019,March
14,14,14,14,14,14,14,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,19:20:00,Credit card,420.72,4.761904762,21.036,8.5,Friday,22-03-2019,March
15,15,15,15,15,15,15,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,12:17:00,Credit card,175.34,4.761904762,8.767,7.7,Sunday,10/3/2019,March
16,16,16,16,16,16,16,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,15:36:00,Cash,224.01,4.761904762,11.2005,7.4,Friday,15-03-2019,March
17,17,17,17,17,17,17,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,10:12:00,Credit card,193.16,4.761904762,9.658,5.1,Friday,15-03-2019,March
18,18,18,18,18,18,18,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,19:15:00,Ewallet,313.1,4.761904762,15.655,7.0,Sunday,10/3/2019,March
19,19,19,19,19,19,19,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,17:17:00,Ewallet,547.92,4.761904762,27.396,4.7,Tuesday,15-01-2019,January
20,20,20,20,20,20,20,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,15:10:00,Cash,222.95,4.761904762,11.1475,8.5,Sunday,10/2/2019,February
21,21,21,21,21,21,21,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,11:26:00,Cash,88.68,4.761904762,4.434,5.8,Wednesday,27-03-2019,March
